ions
 49 
Chlorate
ClO3 -1

Iodate
IO3 -1

Nitrate
NO3 -1

Phosphate
PO4 -3

Hydrogen Sulfite
HSO3 -1

Bromate
BrO3 -1

Nickel (II)
Nickelous ion

Cobalt (II)
Cobaltous ion

Dihydrogen Phosphite
H2PO3 -1

Carbonate
CO3 -2

Mercury (I)
Mercurous ion

Hydrogen Phosphate
HPO4 -2

Perchlorate
ClO4 -1

Iron (III)
Ferric ion

Copper (I)
Cuprous ion

Chromium (II)
Chromous Ion

Chromate
CrO4 -2

Hydrogen Carbonate
HCO3 -1

Cyanide
CN -1

Hydrogen Chromate
HCrO4 -1

Nitrite
NO2 -1

Hypochlorite
ClO -1

Hydrogen Phosphite
HPO3 -2

Nickel (III)
Nickelic ion

Permanganate
MnO4 -1

Peroxide
O2 -2

Hydroxide
OH -1

Phosphite
PO3 -3

Lead (IV)
Plumbic ion

Dihydrogen Phosphate
H2PO4 -1

Oxalate
C2O4 -2

Iron (II)
Ferrous ion 

Dichromate
Cr2O7 -2

Copper (II)
Cupric ion

Acetate
C2H3O2 -1

Hydrogen Sulfate
HSO4 -1

Cobalt (III)
Cobaltic ion

Hydrogen Thiosulfate
HS2O3 -1

Tin (II)
Stannous ion

Chromium (III)
Chromic ion

Tin (IV) 
Stannic ion

Ammonium
NH4 +1

Sulfate
SO4 -2

Hydrogen Oxalate
HC2O4 -1

Lead (II)
Plumbous ion

Hydrogen Dichromate
HCr2O7 -1

Sulfite
SO3 -2

Mercury (II)
Mercuric Ion

Chlorite
ClO2 -1

